Individual Income ,2632.146
Payroll Taxes,1483.527
Corporate Income Taxes,424.865
Excise Taxes,87.728
Federal Reserve remittances,106.674
Custom duties,99.908
Estate and gift taxes,32.55
Misc fees and fines,30.001
Total Revenue,4897.399
Gross Domestic Product,25015.5
